Constituency,State,MP,Party,Year,,,,,,,,,,,
SAMBHAL,Uttar Pradesh, SRI PAL SINGH,JD,1993,,,,,,,,,,,
SHAHABAD,Uttar Pradesh, SURENDRA PAL PATHAK,BJP,1993,,,,,,,,,,,
SHAHJAHANPUR,Uttar Pradesh, SATYA PAL SINGH YADAV (SIWARA),JD,1993,,,,,,,,,,,
SITAPUR,Uttar Pradesh, JANARDAN PRASAD MISRA,BJP,1993,,,,,,,,,,,
SULTANPUR,Uttar Pradesh, VISHWANATH DASS SHASTRI,BJP,1993,,,,,,,,,,,
TEHRI GARHWAL ,Uttar Pradesh,MANBENDRA SHAH ,BJP,1993,,,,,,,,,,,
UNNAO,Uttar Pradesh, DEVI BUX SINGH,BJP,1993,,,,,,,,,,,
VARANASI,Uttar Pradesh, SHEESH CHANDRA DIXIT,BJP,1993,,,,,,,,,,,
MEERUT,Uttar Pradesh,AMAR PAL SINGH,BJP,1993,,,,,,,,,,,
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1993,,,,,,,,,,,
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1993,,,,,,,,,,,
ASANSOL,West Bengal, HARADHAN ROY,CPM,1993,,,,,,,,,,,
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1993,,,,,,,,,,,
BANKURA ,West Bengal,BASUDEV ACHARIA ,CPM,1993,,,,,,,,,,,
BARASAT,West Bengal, CHITTA BASU,FBL,1993,,,,,,,,,,,
BARRACKPORE,West Bengal, TARIT BARBAN TOPDAR,CPM,1993,,,,,,,,,,,
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1993,,,,,,,,,,,
BERHAMPORE ,West Bengal,NANI BHATACHARYYA ,RSP,1993,,,,,,,,,,,
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA ,CPM,1993,,,,,,,,,,,
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1993,,,,,,,,,,,
BURDWAN,West Bengal, SUDHIR RAY,CPM,1993,,,,,,,,,,,
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1993,,,,,,,,,,,
CALCUTTA NORTH WEST ,West Bengal,DEBI PROSAD PAL ,INC,1993,,,,,,,,,,,
CALCUTTA SOUTH,West Bengal, MAMATA BANERJEE (W),INC,1993,,,,,,,,,,,
CONTAI,West Bengal, SUDHIR GIRI,CPM,1993,,,,,,,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1993,,,,,,,,,,,
DARJEELING,West Bengal, INDER JEET,INC,1993,,,,,,,,,,,
DIAMOND HARBOUR,West Bengal, AMAL DUTTA,CPM,1993,,,,,,,,,,,
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1993,,,,,,,,,,,
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1993,,,,,,,,,,,
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1993,,,,,,,,,,,
HOWRAH,West Bengal, SUSANTA CHAKRABORTY S/O SUDHIR,CPM,1993,,,,,,,,,,,
JADAVPUR,West Bengal, MALINI BHATTACHARYA (W),CPM,1993,,,,,,,,,,,
JALPAIGURI,West Bengal, JITENDRA NATH DAS,CPM,1993,,,,,,,,,,,
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1993,,,,,,,,,,,
JHARGRAM (ST),West Bengal, RUPCHAND MURMU,CPM,1993,,,,,,,,,,,
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1993,,,,,,,,,,,
KATWA,West Bengal, SAIFUDDIN CHOWDHRY,CPM,1993,,,,,,,,,,,
KRISHNAGAR,West Bengal, AJOY MUKHOPADHYAY,CPM,1993,,,,,,,,,,,
MALDA,West Bengal, ABDUL BARKAT ATAUL GHANI KHAN CHOUDHARY,INC,1993,,,,,,,,,,,
MATHURAPUR (SC),West Bengal, RADHIKA RANJAN PRAMANICK,CPM,1993,,,,,,,,,,,
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1993,,,,,,,,,,,
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1993,,,,,,,,,,,
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1993,,,,,,,,,,,
PANSKURA,West Bengal, GITA MUKHERJEE (W),CPI,1993,,,,,,,,,,,
PURULIA,West Bengal,B. MAHATO,FBL,1993,,,,,,,,,,,
RAIGANJ,West Bengal, SYBARTA MUKERJEE,CPM,1993,,,,,,,,,,,
SERAMPORE,West Bengal, SUDARSAN ROY CHOWDHURY,CPM,1993,,,,,,,,,,,
TAMLUK,West Bengal, SATYAGOPAL MISRA,CPM,1993,,,,,,,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1993,,,,,,,,,,,
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1993,,,,,,,,,,,
ADILABAD,Andhra, ALLOLA INDRAKARAN REDDY,TDP,1994,,,,,,,,,,,
AMALAPURAM (SC),Andhra, BALAYOGI G.M.C.,TDP,1994,,,,,,,,,,,
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1994,,,,,,,,,,,
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1994,,,,,,,,,,,
BAPATLA,Andhra, VENKATESWARA RAO DAGGUBATI,TDP,1994,,,,,,,,,,,
BHADRACHALAM (ST),Andhra, KARREDDULA KAMALAKUMARI (W),INC,1994,,,,,,,,,,,
BOBBILI,Andhra, ANANDA GAJAPATHI RAJU POOSAPATHI,INC,1994,,,,,,,,,,,
CHITTOOR,Andhra, M. GNANENDRA REDDY,INC,1994,,,,,,,,,,,
CUDDAPAH,Andhra, Y.S. RAJASEKHAR REDDY,INC,1994,,,,,,,,,,,
ELURU,Andhra, BOLLA BULLIRAMAIAH,TDP,1994,,,,,,,,,,,
GUNTUR,Andhra, LAL JAN BASHA S.M.,TDP,1994,,,,,,,,,,,
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1994,,,,,,,,,,,
HINDUPUR,Andhra, S. GANGADHARA,INC,1994,,,,,,,,,,,
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1994,,,,,,,,,,,
KAKINADA,Andhra, THOTA SUBBARAO,TDP,1994,,,,,,,,,,,
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1994,,,,,,,,,,,
KHAMMAM,Andhra, RANGAYYA NAYUDU P.V.,INC,1994,,,,,,,,,,,
KURNOOL,Andhra,K.J.S. PRAKASH REDDY,INC,1994,,,,,,,,,,,
MACHILIPATNAM,Andhra, K.P. REDDAIAH,TDP,1994,,,,,,,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1994,,,,,,,,,,,
MEDAK,Andhra, N. BAGA REDDY,INC,1994,,,,,,,,,,,
MIRYALGUDA ,Andhra,BHEEMIREDDY NARSIMHA REDDY ,CPM,1994,,,,,,,,,,,
NAGARKURNOOL (SC),Andhra, MALLU RAVI,INC,1994,,,,,,,,,,,
NALGONDA,Andhra, BOMMAGANI DHARMA BIKSHAM,CPI,1994,,,,,,,,,,,
NANDYAL,Andhra,P. V. N. Rao,INC,1994,,,,,,,,,,,
NARASAPUR,Andhra, VIJAYAKUMAR RAJU BHUPATHIRAJU,TDP,1994,,,,,,,,,,,
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1994,,,,,,,,,,,
NELLORE (SC),Andhra, KUDUMULA PADMASRE (W),INC,1994,,,,,,,,,,,
NIZAMABAD,Andhra, GADDAM GANGA REDDY,TDP,1994,,,,,,,,,,,
ONGOLE,Andhra, MANGUNTA SUBBARAMA REDDY,INC,1994,,,,,,,,,,,
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1994,,,,,,,,,,,
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1994,,,,,,,,,,,
RAJAHMUNDRY,Andhra, K.V.R. CHOWDARY,TDP,1994,,,,,,,,,,,
RAJAMPET,Andhra, ANNAIAHGARI SAIPRATHAP,INC,1994,,,,,,,,,,,
SECUNDERABAD,Andhra, BANDARU DATTATRAYA,BJP,1994,,,,,,,,,,,
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1994,,,,,,,,,,,
SRIKAKULAM ,Andhra,VISWANDHAM KANITHI ,INC,1994,,,,,,,,,,,
TENALI,Andhra, UMMAREDDY VENKATESWARLU,TDP,1994,,,,,,,,,,,
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1994,,,,,,,,,,,
VIJAYAWADA,Andhra, VADDE SOBHANDRESWARA RAO,TDP,1994,,,,,,,,,,,
VISAKHAPATNAM,Andhra, M.V.V.S. MURTHI,TDP,1994,,,,,,,,,,,
WARANGAL,Andhra, SURENDRA REDDY RAMA SAHAYAM,INC,1994,,,,,,,,,,,
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1994,,,,,,,,,,,
ARRAH,Bihar, RAM LAKHAN SINGH YADAV,JD,1994,,,,,,,,,,,
AURANGABAD,Bihar, RAM NARESH SINGH,JD,1994,,,,,,,,,,,
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,JD,1994,,,,,,,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1994,,,,,,,,,,,
BANKA,Bihar, PRATAP SINGH,JD,1994,,,,,,,,,,,
BARH,Bihar, NITISH KUMAR,JD,1994,,,,,,,,,,,
BEGUSARAI,Bihar, KRISHNA SAHI (W),INC,1994,,,,,,,,,,,
BETTIAH,Bihar, FAIYAZULAZAM,JD,1994,,,,,,,,,,,
BHAGALPUR,Bihar, CHUNCHUN PRA. YADAV,JD,1994,,,,,,,,,,,
BIKRAMGANJ,Bihar, RAM PRASAD SINGH,JD,1994,,,,,,,,,,,
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1994,,,,,,,,,,,
CHAPRA,Bihar, LAL BABU RAI,JD,1994,,,,,,,,,,,
CHATRA,Bihar, UPENDRA NATH VERMA,JD,1994,,,,,,,,,,,
DARBHANGA,Bihar, MD. ALI ASRAF FATMI,JD,1994,,,,,,,,,,,
DHANBAD,Bihar, RITA VERMA (W),BJP,1994,,,,,,,,,,,
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1994,,,,,,,,,,,
GAYA (SC),Bihar, RAJESH KUMAR,JD,1994,,,,,,,,,,,
GIRIDIH,Bihar,R. K. MAHTE,JMM,1994,,,,,,,,,,,
GODDA,Bihar, SURAJ MANDAL,JMM,1994,,,,,,,,,,,
GOPALGANJ,Bihar, ABDUL GHAFOOR,JD,1994,,,,,,,,,,,
HAJIPUR (SC),Bihar, RAM SUNDER DAS,JD,1994,,,,,,,,,,,
HAZARIBAGH,Bihar, BHUNESHWAR PRASAD MEHTA,CPI,1994,,,,,,,,,,,
JAHANABAD,Bihar, RAMRAMASHARAY PRASAD SINGH,CPI,1994,,,,,,,,,,,
JAMSHEDPUR,Bihar, SILENDRA MAHTO,JMM,1994,,,,,,,,,,,
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1994,,,,,,,,,,,
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1994,,,,,,,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1994,,,,,,,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1994,,,,,,,,,,,
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1994,,,,,,,,,,,
KODARMA,Bihar, MUMTAZ ANSARI,JD,1994,,,,,,,,,,,
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1994,,,,,,,,,,,
MADHEPURA,Bihar, SHARAD YADAV,JD,1994,,,,,,,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1994,,,,,,,,,,,
MAHARAJGANJ,Bihar, GIRIJA DEVI (W),JD,1994,,,,,,,,,,,
MONGHYR,Bihar, BRAHMANAND MANDAL,CPI,1994,,,,,,,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1994,,,,,,,,,,,
MUZAFFARPUR,Bihar, GEORGE FERNANDESE,JD,1994,,,,,,,,,,,
NALANDA,Bihar, VIJOY KUMAR YADAV,CPI,1994,,,,,,,,,,,
NAWADA (SC),Bihar, PREM CHAND RAM,CPM,1994,,,,,,,,,,,
PALAMAU (SC) ,Bihar,RAM DEO RAM,BJP,1994,,,,,,,,,,,
PATNA,Bihar,RAM KRIPAL YADAV,JD,1994,,,,,,,,,,,
PURNEA,Bihar,RAJESH RANJAN (PAPPU YADAV),JD,1994,,,,,,,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1994,,,,,,,,,,,
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1994,,,,,,,,,,,
ROSERA (SC),Bihar, RAM VILAS PASWAN,JD,1994,,,,,,,,,,,
SAHARSA,Bihar, SURYA NARAIN YADAV,JD,1994,,,,,,,,,,,
SAMASTIPUR,Bihar, MANJAY LAL,JD,1994,,,,,,,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1994,,,,,,,,,,,
SHEOHAR,Bihar, HARI KISHORE SINGH,JD,1994,,,,,,,,,,,
SINGHBHUM (ST),Bihar, KRISHNA MARANDI,JMM,1994,,,,,,,,,,,
SITAMARHI,Bihar, NAWAL KISHORE RAY,JD,1994,,,,,,,,,,,
SIWAN,Bihar, BRISHIN PATEL,JD,1994,,,,,,,,,,,
VAISHALI,Bihar, SHEO SHARAN SINGH,JD,1994,,,,,,,,,,,
CHANDNI CHOWK,Delhi, TARA CHAND KHANDELWAL,BJP,1994,,,,,,,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1994,,,,,,,,,,,
EAST DELHI,Delhi, B.L. SHARMA 'PREM',BJP,1994,,,,,,,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1994,,,,,,,,,,,
NEW DELHI ,Delhi,R. KHANNA,BJP,1994,,,,,,,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC,1994,,,,,,,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1994,,,,,,,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1994,,,,,,,,,,,
AMRELI,Gujarat, DILIPBHAI SANGHANI,BJP,1994,,,,,,,,,,,
ANAND,Gujarat, CHAVDA ISHVARBHAI KHODABHAI,INC,1994,,,,,,,,,,,
BANASKANTHA,Gujarat, CHAVDA HARISINHJI PATAPSINHJI,BJP,1994,,,,,,,,,,,
BARODA,Gujarat, DIPIKA CHIKHLIYA (W),BJP,1994,,,,,,,,,,,
BHAVNAGAR,Gujarat, MAHAVIRSINH HARISINHJI GOHIL,BJP,1994,,,,,,,,,,,
BROACH,Gujarat, CHANDUBHAI DESHMUKH,BJP,1994,,,,,,,,,,,
BULSAR (ST) ,Gujarat,UTTAMBHAI HARJIBHAI PATEL,INC,1994,,,,,,,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,NARANBHAI JAMLABHAI RATHAVA ,JD(G),1994,,,,,,,,,,,
DHANDHUKA (SC),Gujarat, RATILAL VERMA,BJP,1994,,,,,,,,,,,
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1994,,,,,,,,,,,
GANDHINAGAR,Gujarat, LAL KRISHNA ADVANI,BJP,1994,,,,,,,,,,,
GODHRA,Gujarat, VEGHELA SHANKERJI LAXMANJI,BJP,1994,,,,,,,,,,,
JAMNAGAR,Gujarat, KORDIYA CHANDRESH KUMAR VALJIBHAI,BJP,1994,,,,,,,,,,,
JUNAGADH,Gujarat, CHIKHALIYA BHAVENABEN DEVRAJBHAI (W),BJP,1994,,,,,,,,,,,
KAIRA,Gujarat, K.D. JESWANI,BJP,1994,,,,,,,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1994,,,,,,,,,,,
KUTCH ,Gujarat,PATEL HARILAL NANJI ,INC,1994,,,,,,,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1994,,,,,,,,,,,
MEHSANA ,Gujarat,A.K. PATEL ,BJP,1994,,,,,,,,,,,
PATAN (SC),Gujarat, MAHESH KANODIYA,BJP,1994,,,,,,,,,,,
PORBANDAR,Gujarat, PATEL HIRALAL MADHAVJIBHAI,BJP,1994,,,,,,,,,,,
RAJKOT,Gujarat, SHIVLALBHAI VERARIA,BJP,1994,,,,,,,,,,,
SABARKANTHA,Gujarat, ARVIND TRIVEDI (LANKESH),BJP,1994,,,,,,,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1994,,,,,,,,,,,
SURENDRANAGAR,Gujarat, KOLIPATEL SOMABHAI GADABHAI,BJP,1994,,,,,,,,,,,
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1994,,,,,,,,,,,
BHIWANI,Haryana, JANGBIR SINGH,HVP,1994,,,,,,,,,,,
FARIDABAD,Haryana, AVTAR SINGH BHADANA,INC,1994,,,,,,,,,,,
HISSAR,Haryana, NARAIN SINGH,INC,1994,,,,,,,,,,,
KARNAL,Haryana, CHIRANJI LAL SHARMA,INC,1994,,,,,,,,,,,
KURUKSHETRA,Haryana, TARA SINGH,INC,1994,,,,,,,,,,,
MAHENDRAGARH,Haryana, RAM SINGH,INC,1994,,,,,,,,,,,
ROHTAK,Haryana, BHUPENDER SINGH,INC,1994,,,,,,,,,,,
SIRSA (SC) ,Haryana,SHAILJA (W) ,INC,1994,,,,,,,,,,,
SONEPAT,Haryana, DHARAMPAL SINGH,INC,1994,,,,,,,,,,,
HAMIRPUR ,Himachal Pradesh,PREM KUMAR DHUMAL ,BJP,1994,,,,,,,,,,,
KANGRA,Himachal Pradesh, D.D. KHANORIA,BJP,1994,,,,,,,,,,,
MANDI,Himachal Pradesh, SUKH RAM,INC,1994,,,,,,,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI ,INC,1994,,,,,,,,,,,
BAGALKOT,Karnataka, SIDDAPPA BHIMAPPA NYAMAGOUDAR,INC,1994,,,,,,,,,,,
BANGALORE NORTH ,Karnataka,C.K. JAFFER SHARIEF ,INC,1994,,,,,,,,,,,
BANGALORE SOUTH,Karnataka, K. VENKATGIRI GOWDA,BJP,1994,,,,,,,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1994,,,,,,,,,,,
BELLARY,Karnataka, BASAVARAJESHWARI (W),INC,1994,,,,,,,,,,,
BIDAR (SC) ,Karnataka,RAMCHANDRA VEERAPPA ,BJP,1994,,,,,,,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA,INC,1994,,,,,,,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1994,,,,,,,,,,,
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1994,,,,,,,,,,,
CHIKKODI (SC),Karnataka, B. SHANKARANAND,INC,1994,,,,,,,,,,,
CHIKMAGALUR,Karnataka, D.K. THARADEVI (W),INC,1994,,,,,,,,,,,
CHITRADURGA,Karnataka, C.P. MUDALAGIRIYAPPA,INC,1994,,,,,,,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1994,,,,,,,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC,1994,,,,,,,,,,,
DHARWAD SOUTH,Karnataka, B.M. MUJAHID,INC,1994,,,,,,,,,,,
GULBARGA,Karnataka, B.G. JAWALI,INC,1994,,,,,,,,,,,
HASSAN,Karnataka, H.D. DEVEGOWDA,JP,1994,,,,,,,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASHEKARA MURTHY,INC,1994,,,,,,,,,,,
KANARA,Karnataka, NAIK G. DEVARAYA,INC,1994,,,,,,,,,,,
KOLAR (SC),Karnataka, K.H. MUNIYAPPA,INC,1994,,,,,,,,,,,
KOPPAL,Karnataka, ANWARI BASAVARAJ PATIL,INC,1994,,,,,,,,,,,
MANDYA,Karnataka, G. MADEGOWDA,INC,1994,,,,,,,,,,,
MANGALORE,Karnataka, V. DHANANJAYA KUMAR,BJP,1994,,,,,,,,,,,
MYSORE,Karnataka, CHANDRAPRABHA URS (W),INC,1994,,,,,,,,,,,
RAICHUR,Karnataka, VENKATESH NAIK,INC,1994,,,,,,,,,,,
SHIMOGA,Karnataka, K.G. SHIVAPPA,INC,1994,,,,,,,,,,,
TUMKUR,Karnataka, S. MALLIKARJUNAIAH,BJP,1994,,,,,,,,,,,
UDUPI,Karnataka, OSCAR FERNANDES,INC,1994,,,,,,,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1994,,,,,,,,,,,
ALLEPPEY,Kerala, T.J. ANJALOSE,CPM,1994,,,,,,,,,,,
BADAGARA,Kerala, UNNIKRISHNAN K.P. (SCS),ICS(SCS),1994,,,,,,,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1994,,,,,,,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1994,,,,,,,,,,,
CHIRAYINKIL,Kerala, SUSEELA GOPALAN (W),CPM,1994,,,,,,,,,,,
ERNAKULAM,Kerala, K.V. THOMAS,INC,1994,,,,,,,,,,,
IDUKKI,Kerala, PALAI K.M. MATHEW,INC,1994,,,,,,,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI M,CP,1994,,,,,,,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1994,,,,,,,,,,,
MANJERI,Kerala, E. AHAMED,MUL,1994,,,,,,,,,,,
MAVELIKARA,Kerala, P.J. KURIAN,INC,1994,,,,,,,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN (W),INC,1994,,,,,,,,,,,
MUVATTUPUZHA,Kerala, P.C. THOMAS,KCM,1994,,,,,,,,,,,
OTTAPALAM (SC),Kerala,S. SIVARARAMAN,CPM,1994,,,,,,,,,,,
PALGHAT,Kerala, V.S. VIJAYARAGHAVAN,INC,1994,,,,,,,,,,,
PONNANI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1994,,,,,,,,,,,
QUILON,Kerala, S. KRISHNA KUMAR,INC,1994,,,,,,,,,,,
TRICHUR,Kerala, P.C. CHACKO,INC,1994,,,,,,,,,,,
TRIVANDRUM ,Kerala,A. CHARLES,INC,1994,,,,,,,,,,,
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1994,,,,,,,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODHI,INC,1994,,,,,,,,,,,
BETUL,Madhya Pradesh, ASLAM-SHER-KHAN,INC,1994,,,,,,,,,,,
BHIND,Madhya Pradesh, YOGANAND SARASWATI,BJP,1994,,,,,,,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1994,,,,,,,,,,,
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1994,,,,,,,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1994,,,,,,,,,,,
DAMOH,Madhya Pradesh, RAMKRISHNA KUSMARIA,BJP,1994,,,,,,,,,,,
DHAR (ST),Madhya Pradesh, SURAJBHANU SOLANKI,INC,1994,,,,,,,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1994,,,,,,,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA (W),BJP,1994,,,,,,,,,,,
GWALIOR,Madhya Pradesh, MADHAV RAO SCINDIA,INC,1994,,,,,,,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1994,,,,,,,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN (W),BJP,1994,,,,,,,,,,,
JABALPUR,Madhya Pradesh, SHRAWAN KUMAR PATEL,INC,1994,,,,,,,,,,,
JANJGIR,Madhya Pradesh, BHAWANI LAL VERMA,INC,1994,,,,,,,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1994,,,,,,,,,,,
KANKER (ST),Madhya Pradesh, ARWIND NETAM,INC,1994,,,,,,,,,,,
KHAJURAHO ,Madhya Pradesh,UMA BHARTI (W) ,BJP,1994,,,,,,,,,,,
KHANDWA,Madhya Pradesh, MAHENDER KUMAR SINGH,INC,1994,,,,,,,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATIDAR,BJP,1994,,,,,,,,,,,
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1994,,,,,,,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1994,,,,,,,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAIN PANDEY ,BJP,1994,,,,,,,,,,,
MORENA (SC) ,Madhya Pradesh,BARELAL JATAV ,INC,1994,,,,,,,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPADEVI SINGH (W),INC,1994,,,,,,,,,,,
RAIPUR,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1994,,,,,,,,,,,
RAJGARH,Madhya Pradesh,LAXMAN SINGH,BJP,1994,,,,,,,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1994,,,,,,,,,,,
REWA,Madhya Pradesh, BHEEM SINGH PATEL,BSP,1994,,,,,,,,,,,
SAGAR (SC),Madhya Pradesh, ANAND AHIRWAR,INC,1994,,,,,,,,,,,
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARADWAJ,INC,1994,,,,,,,,,,,
SATNA,Madhya Pradesh, ARJUN SINGH,INC,1994,,,,,,,,,,,
SEONI,Madhya Pradesh, VIMLA VERMA (W),INC,1994,,,,,,,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1994,,,,,,,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOLCHAND VERMA,BJP,1994,,,,,,,,,,,
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1994,,,,,,,,,,,
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1994,,,,,,,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1994,,,,,,,,,,,
VIDISHA,Madhya Pradesh,S.SINGH,BJP,1994,,,,,,,,,,,
AHMEDNAGAR,Maharashtra, GADAKH YESHAWANTRAO,INC,1994,,,,,,,,,,,
AKOLA,Maharashtra, FUNDKAR PANDURANG PUNDLIK,BJP,1994,,,,,,,,,,,
AMRAVATI,Maharashtra, PRATIBHA DEVISINHA PATIL (W),INC,1994,,,,,,,,,,,
AURANGABAD,Maharashtra, MORESHWAR SAVE,SHS,1994,,,,,,,,,,,
BARAMATI,Maharashtra,P. S. C. GOVINDRAO,INC,1994,,,,,,,,,,,
BEED,Maharashtra,KSHIRSAGAR KESHARBAI SONAJIRAO ALIAS KAKU (W),INC,1994,,,,,,,,,,,
BHANDARA,Maharashtra, PRAFUL MANOHAR BHAI PATEL,INC,1994,,,,,,,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1994,,,,,,,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1994,,,,,,,,,,,
BOMBAY NORTH EAST ,Maharashtra,GURADAS KAMAT ,INC,1994,,,,,,,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT, INC,1994,,,,,,,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1994,,,,,,,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,MOHAN RAWALE ,SHS,1994,,,,,,,,,,,
